stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.20896] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20905] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20916] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20929] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20940] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20951] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20958] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20968] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20977] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20984] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20996] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21007] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21019] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21033] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21047] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21061] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21072] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21085] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.21100] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.21232] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.21249] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.25492] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.31218] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.31234] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.31249] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.31260] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.31276] Returning d3d_display: 00000279D1EAAFA0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.31284] al_display=00000279D1EAAFA0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.31293] al_display->vt=00000279CF594A50
system   D            wsystem.c:834  maybe_parent_dir                 [   0.31322] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.31400] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.31434] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.31497] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.31528] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.31594] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.31618] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.31676] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.31703] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.31771] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.31796] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.31865] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.31903] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.31985] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.32010] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.32073] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.32108] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.32175] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.32200] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.32270] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.32305] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.32478] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.32510] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.32590] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.32616] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.32687] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.32725] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.32795] PathFindOnPath failed to find d3dx9_30.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.32818] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.32874] PathFindOnPath failed to find d3dx9_29.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.32896] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.32964] PathFindOnPath failed to find d3dx9_28.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.32999] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.33086] PathFindOnPath failed to find d3dx9_27.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.33113] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.33180] PathFindOnPath failed to find d3dx9_26.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.33206] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.33264] PathFindOnPath failed to find d3dx9_25.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.33288] Also searching C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.33355] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.33371] Failed to load D3DX9 library. Library is not installed.
dtor     D               dtor.c:196  _al_register_destructor          [   0.33399] added dtor for bitmap 00000279D1F99EF0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.33472] added dtor for bitmap 00000279D1F9A0E0, func 00007FFD848D118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33815] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33845] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33854] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33861] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33874] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33884] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33894] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33901] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33910] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.33919] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.33927] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.33935] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.33944] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.34019] added dtor for bitmap 00000279D1F9A2D0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34188] added dtor for sub_bitmap 00000279D2045C80, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34220] added dtor for sub_bitmap 00000279D2046060, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34233] added dtor for sub_bitmap 00000279D2046250, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34244] added dtor for sub_bitmap 00000279D2046630, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34252] added dtor for sub_bitmap 00000279D20475B0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34273] added dtor for sub_bitmap 00000279D20473C0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34281] added dtor for sub_bitmap 00000279D2046820, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34306] added dtor for sub_bitmap 00000279D2046A10, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34318] added dtor for sub_bitmap 00000279D2046C00, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34327] added dtor for sub_bitmap 00000279D2046DF0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34336] added dtor for sub_bitmap 00000279D20458A0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34345] added dtor for sub_bitmap 00000279D20471D0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34354] added dtor for sub_bitmap 00000279D2046FE0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34363] added dtor for sub_bitmap 00000279D2045A90, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34371] added dtor for sub_bitmap 00000279D20894B0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34378] added dtor for sub_bitmap 00000279D2087D70, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34386] added dtor for sub_bitmap 00000279D2088720, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34393] added dtor for sub_bitmap 00000279D2088EE0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34402] added dtor for sub_bitmap 00000279D20896A0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34411] added dtor for sub_bitmap 00000279D2089A80, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34424] added dtor for sub_bitmap 00000279D2089890, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34433] added dtor for sub_bitmap 00000279D2088910, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34442] added dtor for sub_bitmap 00000279D2087F60, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34450] added dtor for sub_bitmap 00000279D2088150, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34458] added dtor for sub_bitmap 00000279D2088340, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34466] added dtor for sub_bitmap 00000279D2088530, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34473] added dtor for sub_bitmap 00000279D20890D0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34482] added dtor for sub_bitmap 00000279D20892C0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34491] added dtor for sub_bitmap 00000279D2088B00, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34499] added dtor for sub_bitmap 00000279D2088CF0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34508] added dtor for sub_bitmap 00000279D208D2F0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34517] added dtor for sub_bitmap 00000279D208CD20, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34526] added dtor for sub_bitmap 00000279D208CF10, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34534] added dtor for sub_bitmap 00000279D208D100, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34541] added dtor for sub_bitmap 00000279D208D4E0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34550] added dtor for sub_bitmap 00000279D208C180, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34558] added dtor for sub_bitmap 00000279D208CB30, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34568] added dtor for sub_bitmap 00000279D208C370, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34577] added dtor for sub_bitmap 00000279D208D6D0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34586] added dtor for sub_bitmap 00000279D208D8C0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34596] added dtor for sub_bitmap 00000279D208C940, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34603] added dtor for sub_bitmap 00000279D208DAB0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34612] added dtor for sub_bitmap 00000279D208BDA0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34621] added dtor for sub_bitmap 00000279D208C560, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34629] added dtor for sub_bitmap 00000279D208BF90, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34637] added dtor for sub_bitmap 00000279D208C750, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34649] added dtor for sub_bitmap 00000279D208E380, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34658] added dtor for sub_bitmap 00000279D208F300, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34668] added dtor for sub_bitmap 00000279D208E570, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34675] added dtor for sub_bitmap 00000279D208E760, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34688] added dtor for sub_bitmap 00000279D208E950, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34701] added dtor for sub_bitmap 00000279D208EB40, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34710] added dtor for sub_bitmap 00000279D208ED30, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34717] added dtor for sub_bitmap 00000279D208DDB0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34726] added dtor for sub_bitmap 00000279D208EF20, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34733] added dtor for sub_bitmap 00000279D208F110, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34742] added dtor for sub_bitmap 00000279D208FAC0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34751] added dtor for sub_bitmap 00000279D208F4F0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34760] added dtor for sub_bitmap 00000279D208F6E0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34768] added dtor for sub_bitmap 00000279D208DFA0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34779] added dtor for sub_bitmap 00000279D208E190, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34788] added dtor for sub_bitmap 00000279D208F8D0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34799] added dtor for sub_bitmap 00000279D20928F0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34810] added dtor for sub_bitmap 00000279D2091970, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34820] added dtor for sub_bitmap 00000279D2092700, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34827] added dtor for sub_bitmap 00000279D2092510, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34835] added dtor for sub_bitmap 00000279D2092AE0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34844] added dtor for sub_bitmap 00000279D2091B60, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34853] added dtor for sub_bitmap 00000279D2092320, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34860] added dtor for sub_bitmap 00000279D2090DD0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34868] added dtor for sub_bitmap 00000279D2091F40, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34877] added dtor for sub_bitmap 00000279D2090FC0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34885] added dtor for sub_bitmap 00000279D2091780, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34891] added dtor for sub_bitmap 00000279D20911B0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34898] added dtor for sub_bitmap 00000279D20913A0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34907] added dtor for sub_bitmap 00000279D2092130, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34917] added dtor for sub_bitmap 00000279D2091D50, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34925] added dtor for sub_bitmap 00000279D2091590, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34933] added dtor for sub_bitmap 00000279D2096720, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34940] added dtor for sub_bitmap 00000279D2096530, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34948] added dtor for sub_bitmap 00000279D20957A0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34955] added dtor for sub_bitmap 00000279D2095D70, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34961] added dtor for sub_bitmap 00000279D2096910, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34970] added dtor for sub_bitmap 00000279D20953C0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34977] added dtor for sub_bitmap 00000279D20955B0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34983] added dtor for sub_bitmap 00000279D2094DF0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.34993] added dtor for sub_bitmap 00000279D2096B00, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35003] added dtor for sub_bitmap 00000279D2095990, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35010] added dtor for sub_bitmap 00000279D2095F60, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35019] added dtor for sub_bitmap 00000279D2094FE0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35026] added dtor for sub_bitmap 00000279D20951D0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35033] added dtor for sub_bitmap 00000279D2095B80, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35042] added dtor for sub_bitmap 00000279D2096150, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35048] added dtor for sub_bitmap 00000279D2096340, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35056] added dtor for sub_bitmap 00000279D20977B0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35064] added dtor for sub_bitmap 00000279D2096E00, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35074] added dtor for sub_bitmap 00000279D2097B90, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35081] added dtor for sub_bitmap 00000279D2098730, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35088] added dtor for sub_bitmap 00000279D2097F70, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35094] added dtor for sub_bitmap 00000279D2098160, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35101] added dtor for sub_bitmap 00000279D2096FF0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35108] added dtor for sub_bitmap 00000279D2097D80, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35118] added dtor for sub_bitmap 00000279D2098540, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35126] added dtor for sub_bitmap 00000279D2098920, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35133] added dtor for sub_bitmap 00000279D20979A0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35140] added dtor for sub_bitmap 00000279D2098B10, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35147] added dtor for sub_bitmap 00000279D20971E0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35154] added dtor for sub_bitmap 00000279D20973D0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35160] added dtor for sub_bitmap 00000279D2098350, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35167] added dtor for sub_bitmap 00000279D20975C0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35175] added dtor for sub_bitmap 00000279D209AB30, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35182] added dtor for sub_bitmap 00000279D209B6D0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35191] added dtor for sub_bitmap 00000279D209A750, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35198] added dtor for sub_bitmap 00000279D209AF10, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35210] added dtor for sub_bitmap 00000279D209A940, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35220] added dtor for sub_bitmap 00000279D209B8C0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35229] added dtor for sub_bitmap 00000279D209BAB0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35237] added dtor for sub_bitmap 00000279D209AD20, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35245] added dtor for sub_bitmap 00000279D209C080, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35253] added dtor for sub_bitmap 00000279D209B100, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35262] added dtor for sub_bitmap 00000279D209BCA0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35270] added dtor for sub_bitmap 00000279D209A560, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35277] added dtor for sub_bitmap 00000279D209B2F0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35286] added dtor for sub_bitmap 00000279D209B4E0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35295] added dtor for sub_bitmap 00000279D209BE90, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35302] added dtor for sub_bitmap 00000279D209C270, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35311] added dtor for sub_bitmap 00000279D209D4F0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35320] added dtor for sub_bitmap 00000279D209D6E0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35329] added dtor for sub_bitmap 00000279D209DCB0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35338] added dtor for sub_bitmap 00000279D209FBB0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35346] added dtor for sub_bitmap 00000279D209EE20, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35354] added dtor for sub_bitmap 00000279D209FDA0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35364] added dtor for sub_bitmap 00000279D209D8D0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35374] added dtor for sub_bitmap 00000279D209C570, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35382] added dtor for sub_bitmap 00000279D209F200, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35391] added dtor for sub_bitmap 00000279D209DAC0, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35399] added dtor for sub_bitmap 00000279D209E850, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35407] added dtor for sub_bitmap 00000279D209FF90, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35415] added dtor for sub_bitmap 00000279D209C760, func 00007FFD848D118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.35423] added dtor for sub_bitmap 00000279D209F3F0, func 00007FFD848D118B
